sentence	label
Hallo admin @bukalapak Jawabannya adalah :  <enter> 1. Lubang Tali Sepatu  <enter> 2. Warna Garis Tepi Logo Nike  <enter> 3. Logo Air Jordannya Posisinya berbeda gradasi dan warnanya.  <enter> #BukalapakUntukIndonesia  <enter> #BukaKuis  <enter> Yuk Ikutan Kawan Kawan : <enter> 1. @fitri_nuraini24 <enter> 2. @wahyunursyahara <enter> 3. @nurhalizahanggi <enter> 4. @nursyamsiahharahap <enter> 5. @limahnst <enter> ••••• <enter> ⏺️Fb : Rapi Mahenra Harahap <enter> ⏺️Tw : @Rapiharahap <enter> ⏺️IG : @Rapiharahap <enter> ••••• <enter> ● Done Like dan Follow Sosial Medianya. ● Done Berikan jawaban saya. ● Done Mention teman saya untuk ikutan. ● Done Cantumkan Hastaghnya. ● Bismillah...	lainnya
1️⃣ Outline logo NIKE atas ORANGE, yang bawah MERAH <enter> 2️⃣ LOGO Air Jordan terbalik <enter> 3️⃣ Gambar sepatu bawah TIDAK ADA RING LUBANG tali sepatu <enter> #BukaKuis #BukalapakUntukIndonesia @fcornelio16fc @rizkygustian999🙏🏻	lainnya
1️⃣ Outline logo NIKE atas ORANGE, yang bawah MERAH <enter> 2️⃣ LOGO Air Jordan terbalik <enter> 3️⃣ Gambar sepatu bawah TIDAK ADA RING LUBANG tali sepatu <enter> #BukaKuis #BukalapakUntukIndonesia @fcornelio16fc @rizkygustian999	lainnya
1. Lubang tali; 2. Logo gambar; 3. Warna garis luar logo #bukakuis #bukalapakuntukindonesia @kaagirsang @herowijaya	lainnya
Cari  sesuai  kebutuhan  tetap  primer	lainnya
Bismillah.  1. Lubang tali sepatu  <enter> 2. Warna garis luar Logo Nike  <enter> 3. Logo gambar warna merah  <enter> @dianrachmad91 @dindahw @yuanitachrist <enter> #bukalapakuntukindonesia	lainnya
Admin @bukalapak ... Kembalikan dong dana dari buka emas ke buka dompet....! Jangan akal-akalan lah....?	misuh
1.Lubang tali satu ada besi dan satu biasa 2. Garis di luar lambang nike berbeda warna 3. Lambang di atas lambang nike berbeda posisi bentuk . @joerifskti @antonio_febrianto #bukakuis #bukalapakuntukindonesia	lainnya
@didikhamdan sip dah untung ada kendala teknis😂	lainnya
@aart.dsilence tenaang. Tim support bukalapak cukup responsif. Tadi saya nanya, dan katanya memang sedang ada kendala teknis untuk pengembalian. Sabar aja, nanti juga uangnya balik. Untuk yg serbuseru emas emang bakal tetep jadi saldo emas. Positif wes. Kebanyakan ngeluh juga hasilnya sama. Sabar yaa	produk
@didikhamdan iya kalau menang...low gk dapet ini masuknya ke Bukaemas bukan ke dompet...berarti nabung buat beli emas	produk
Jawabannya adalah : 1. Lubang tali sepatu atas dan bawah berbeda. 2. Logo gambar berwarna merah juga berbeda. 3. Warna garis luar logo Nike pada sepatu juga berbeda. 4. Warna baground pada masing2 sepatu juga berbeda. @ernijanata @nurulromsah #BukaKuis #BukalapakUntukIndonesia	lainnya
Lubang tali sepatu atas dan bawah berbeda . Logo gambar pada warna merah sepatu atas dan bawah berbeda posisi . Warna garis luar sepatu Nike atas dan bawah juga berbeda @yuueen @dinianamtar #BukaKuis #BukaLapakUntukIndonesia	lainnya
1. Warna putih pada logo air jordan  <enter> 2. Ring pada sepatu bagian atas  <enter> 3. Warna garis tepi di logo nike  <enter> #BukaKuis #BukalapakUntukIndonesia  <enter> @azunyanbdg @boniebilly	lainnya
<enter> buat aku	lainnya
1. Warna putih pada logo air jordan  <enter> 2. Ring pada sepatu bagian atas  <enter> 3. Warna garis tepi di logo nike  <enter> #BukaKuis #BukalapakUntukIndonesia  <enter> @azunyanbdg @boniebilly	lainnya
1. Warna putih pada logo air jordan  <enter> 2. Ring pada sepatu bagian atas  <enter> 3. Warna garis tepi di logo nike  <enter> #BukaKuis #BukalapakUntukIndonesia  <enter> @azunyanbdg @boniebilly	lainnya
Haiii haii @bukalapak Ada 3 perbedaan nih <enter> 1. WARNA GARIS LUAR LOGO NIKE PADA SEPATU ATAS DAN BAWSH BERBEDA  <enter> 2. LUBANG TALI SEPATU ATAS DAN BAWAH BERBEDA  <enter> 3. LOGO AIR JORDAN NYA POSISI NYA BEDA GRADASI DAN WARNA NYA. <enter> Kalau ada sumur diladang boleh kita menumpang mandi ? Kalo ada yang lagi give away boleh kali dibagi bagi.😁 kuy gaes ikutan juga @ibnutaqim_ @fatkhurohman766 #BukaKuis #BukalapakUntukIndonesia semoga sadjaaa🔥🔥	lainnya
Ada 3 perbedaan 1. WARNA GARIS LUAR LOGO NIKE PADA SEPATU ATAS DAN BAWSH BERBEDA 2. LUBANG TALI SEPATU ATAS DAN BAWAH BERBEDA 3. LOGO AIR JORDAN NYA POSISI NYA BEDA GRADASI DAN WARNA NYA. Kalau ada sumur diladang boleh kita menumpang mandi ? Kalo ada yang lagi give away boleh kali dibagi bagi.😁 kuy gaes ikutan juga @ibnutaqim_ @fatkhurohman766 #BukaKuis #BukalapakUntukIndonesia semoga sadjaaa🔥🔥	lainnya
@goesti_weddingorganizer la kwe po gelem tak tukokne	lainnya
@didikhamdan di komplaine. Suruh nunggu 7hr. Ampun.	misuh
1. Logo air jordannya posisinya beda.  2. Lubang tali sepatu 3. Warna garis tepi logo ✔ nike @wandybunksu @wandy.abadi @wahd_97 #bukakuis #bukalapakuntukindonesia	lainnya
@didikhamdan yoi bro,  penipuan yg terang terangan.  Gue lebh parah. Belanja 3,5 jt katanya bakal dpt cashback 122.rb  transaksi udh selesai gk dpt juga.	misuh
@damadam482 iya mas, saya juga saldo buka emas hasil refund 12rb yg kemaren juga gak ada. Transaksinya ada, tapi saldo emasnya gak nambah. Berarti semua peserta ngalamin ini	misuh
@didikhamdan mash mendibg balik lgi ke buka emas, ini mah kagak ada sama sekali. Due udh komplaine lewat telegram. Katanya kesalahan sistem. Dan sedang di perbaiki. Tunggu sampe 2x24 jam. Gila gk tuh @bukalapak	misuh
Perbedaan nya: 1. Harganya beda 2. Engga ada bedanya 3. Engga ada bedanya #bukakuis #bukalapakuntukindonesia @rstnamara_ @rstwproductn	lainnya
hai @bukalapak Say hi dong	lainnya
Assalamualaikum min jawaban menurut saya 1. Logo gambarnya beda posisi yg atas sama bawah 2. Lubang buat tali sepatunya min beda 3. Sama warna garis nike nya. Bismillah semoga menang amiinn.. #bukakuis #bukalapakuntukindonesia @yusuf_hendriana @adesulistioo	lainnya
@aart.dsilence itu bisa dijual lagi mas	lainnya
1.Logo merah beda posisi ..2.lubang tali ..3.logo nike garis luar merah sama orange @bukalapak ikutan kuy @nia_anugerah @zhon158 #BukaKuis #BukalapakUntukIndonesia	lainnya
@damadam482 iya betul kenapa gk kembalinya ke dompet bukalapak...low ke bukaemas NGENDAP dong😫itu sama aja @bukalapak dimodalin user	misuh
1. lubang tali sepatu atas dan bawah 2. logi warna merah yang satu putihnya di awal yang satu putih diakhir 3. warna garis luar logo nike yang satu orange yang satu merah @wblestari @eskah17	lainnya
1. sepatu atas lubang sepatu pakai ring besi 1pcs, sepatu bawah tidak ada, 2. sepatu atas logo nike garis luarnya warna orange, sepatu bawah logo nike garis luarnya warna merah, 3. logo atau simbol gambar yang warna merah sepatu atas garis putihnya menghadap ke bawah, sepatu bawah garis putihnya menghadap samping kanan #BukaKuis#BukalapakUntukIndonesia @bukalapak @pepidestroyers @pur_wono13	lainnya
@bukalapak mw bukti ? Udh gw DM ke lu	servis
@bukalapak kmrin gw iku serba seru modal 50 rbu kbtulan gw gak mnang nah yg jdi prmsalahan gw knpa yg di refund cma 38rbu haa ? Yg 12rbu nya kmna ?	misuh
@bukalapak penipuan. Bca DM gw min. Mw gw bongkar kebusukan lu perihal refund dana serba seru ?	servis
@bukalapak admin,  dana balikin ke buka dompet aja,  yg ke inves emas,	produk
Jawabannya adalah 1.lobang tali sepatu 2.logo warna merah 3.garis logo nike  @puji_rianto92 @aam_riyanto #bukakuis #BukalapakUntukIndonesia	lainnya
1. logo merah 2. lubang tali sepatu 3. warna logo Nike #bukalapakuntukindonesia #BukaKuis @ndosssz @aligalendo_	lainnya
Jawabannya adalah:  <enter> 1. Garis luar logo Nike berbeda  <enter> 2. Logo merah  berbeda posisi (terbalik)  <enter> 3. Lubang tali sepatu yg atas berbeda <enter> @novanan @msulaiman89 #BukaKuis #BukalapakUntukIndonesia	lainnya
@plud_multimedia  tuku maneh kanggo aq	lainnya
perbedaan nya yg pertama di logo AIRJORDANnya nya ,yang ke2 di  list/garis luar  logo nike nya berbeda warna ,yg terahir di lubang tali sepatunya di gambar atas memiliki ring lubang sepatu sedangkan di gambar bawah tidak @iiswulansundari @kh_king_135cc #bukakuis #bukalapakuntukindonesia	lainnya
Jawabannya adalah	lainnya
Jawabanya :	lainnya
👏👏👏👏👏	lainnya
@bukalapak belom ada respon lagi min,apakah udah dicek?	servis
@yoga_astria sama nih, buka hasil refund serbu seru emas gk cair.  Dapet berapa nih @bukalapak ? Rp.12.000x ratusan ribu user.	misuh
@bukalapak tolong untuk bukalapak sudah 5 hari sejak keluhan dan komplain saya tentang akun yang dibekukan kenapa tidak ada solusi ? Cs bilang tunggu maksimal 5 harinkerja,sudah mau hari ke 5 nenapa tidak kabar??????? Saya sedang membutuhkan uang untuk berobat tidak bisa dikarenakan buka dompet saya dibekukan tanpa ada alesan jelas! Tidak ada solusi sama sekali!	misuh
1. Lobang tali sepatunya yang atas dan bawah berbeda.  2. Logo Air Jordan posisi gradasi dan warna berbeda. 3. Warna garis tepi logo Nike berbeda warna @vellaanastasya @tabahfahr85 @zahraaditya63 #bukakuiss #bukalapakuntukindonesia	lainnya
@yoga_astria Hai, perihal pengembalian Serbu Seru BukaEmas kamu, apabila kamu belum terpilih untuk serbu seru BukaEmas, maka kamu akan menerima pengembalian uang dalam bentuk saldo BukaEmas yang akan diterima dalam waktu maksimal 2x24 jam, ya.	produk
Jawabannya 1). logo Air Jordan nya terbalik posisinya... 2). warna tepi atau pinggiran logo Nike nya berbeda  atas orange bawah merah.. 3.)lobang tali sepatunya paling atas beda, yg atas ada yg bawah ga ada...@lintang_1140 @vinarockin #BukaKuis  #BukalapakUntukIndonesia	lainnya
3 perbedaannya yaitu: 1.Motif warna merah, 2.Ring lubang tali pada sepatu, 3.Warna logo Nike @march.ali @myti_ah #BukaKuis #BukalapakUntukIndonesia	lainnya
@bukalapak knp saldo saya hilang 12.000 username dayattt12345	transaksi
@didit_photography Hi, mohon maaf atas  ketidaknyamanannya, perihal kendala kamu, kami bantu via DM ya.	servis
@goesti_weddingorganizer wes duwe 2	lainnya
@bukalapak kirain uang berkurang tuh saya jadi pemenang serbuseru, boro atoh. Eh ari pek teh.. gmn donk min dr dulu ikutan terus nih serbuseru sekarang malah kecewa uang nya di refund lama udh gitu gak kebuka dompet lagi.😢	misuh
1. Lubang tali sepatu atas dan bawah berbeda 2. Logo gambar warna merah pada sepatu atas dan bawah berbeda posisi 3. Warna garis terluar logo Nike pada sepatu atas dan bawah berbeda. Ayo ramaikan kawan" @juardoparhusip @patartogatorop08 @bukalapak #BukaKuis #BukalapakUntukIndonesia	lainnya
@bukalapak balikin dong Dana nya jangan begitu caranya emang sih 12 ribu tapi kami konsumen merasa di rugikan. Di jual kembali pun tidak bisa emas nya di situ tertera emasnya. 0.02 gram dengan hrga jual 11 ribuan tapi ketika di jual tidak bisa saldo emas anda tidak cukup . Jgn begitudong @bukalapak berapa juta konsumen yang ikut berapa juta konsumen yang kecewa. Lagipun Dana buka emasnya gak bisa buat di pakai buat buka emas selanjutnya. Tolong dong kebijakan Dari perusahaan Kan rumayan uang 12 ribu bisa beli pulsa	misuh
@plud_multimedia tuku oooo	lainnya
lubang tali, logo gambar, warna garis luar sepatu nike @arumjail @mpabbinru #BukaKuis #BukalapakUntukIndonesia	lainnya
1. logo air jordan terbalik, 2. lubang tali sepatu atas ada eyelette nya yg bawah ga ada, 3 garis logo nike beda warna @akusaya233333 @nenden_ady23 #bukakuis #BukalapakUntukIndonesia	lainnya
Tolong direspon pak no tagihan BL19128FW6GMINV udah sy tf kok gak ada verifikasi malah keraluwarsa.	transaksi
Kenapa refund dana serbu sya belum dikembalikan	transaksi
Ikut serbu seru meleset mulu euy	lainnya
Min no tagihan BL19128FW6GMINV udah sy tolong segera verifikasi ya waktunya udah mepet	transaksi
@bukalapak tolong bukalapak jangan memaksa konsumen untuk investasi emas dengan cara ngadain emas harga 12rb di serbuseru,terus kalo penyerbunya ga terpilih,dananya dimasukin ke bukaemas,ini sama aja konsumen dipaksa buat investasi emas secara tidak langsung,karna saya yakin tidak semua orang yg ikut serbuseru emas itu tau kalo ga terpilih nanti dana pengembaliannya itu masuk ke bukaemas	misuh
Perbedaannya: 1.Logo Air Jondan yg Berbeda,2.Garis Loho Nike Berbeda Warna,3.Lubang Tali Sepatu juga Perbeda.@syahida_elfi @ayusaputry_ #BukaKuis #BukaLapakUntukIndonesia	lainnya
1.Lubang Tali Septatu. 2.Logo Gambar warna Merah berbeda. 3.Warna Garis Sepatu Nike Berbeda..@maemunah5113 @muhammadikhwanjr  #BukaKuis #BukalapakUntukIndonesia	lainnya
1. Outline/garis logo nike yag berbeda yg atas warna kuning, yg bawah warna merah... 2. Lubang tali sepatu pada gbr atas ada besinya wrna putih, yg gbr bawah ga ada besinya/polosan.  3. Logo merah air jordan pada gbr atas ada putih2nya dibagian bawah,sedangkan gbr bawah logonya ada putih2nya bagian atas @ochineotsu @thegodzillaz #bukakuis #bukalapakuntukindonesia	lainnya
Siang min jawaban nya adalah : 1 . Logo gambar merah pada sepatu bawah dan atas beda posisi ....2. Lubang tali sepatu bawah dan atas berbeda ....3.warna garis luar logo nike pada sepatu bawah dan atas berbeda @sandynugraha312 @mohtaupik #bukakuis #bukalapakuntukindonesia	lainnya
1.ring lobang tali atas 2.posisi logo merah 3.warna garis logo nike @aprilia5266 @jack_kece_  #bukakuis #bukalapakuntukindonesia	lainnya
@jonachristo hahaha sependapat bang	lainnya
1 Lubang sepatu atas dan bawah berbeda.  2 logo gambar warna merah pd seoatu atas dan bawah berbeda.  3 warna garis luar sepatu nike atas dan bawah berbeda #bukalapakuntukindonesia #bukakuis	lainnya
Bismilahh... Bedanya adalah 1.lubang tali sepatu beda 2.logo atas beda posisi 3.warna garis luar logo centang berbeda @sumymarwah @watialfatih #bukakuis #bukalapakuntukindonesia	lainnya
1. Hole sepatu(lubang tali) paling atas berbeda. 2. Logo Air Jordan posisinya berbeda  3. Outline pada logo Nikenya berbeda warna. @syahrul_asl161  @ali_muhyiddin  #BukaKuis #BukalapakUntukIndonesia	lainnya
1.Gambar atas pakai eyelet sedangkan gambar bawah tidak pakai <enter> 2.Gambar atas logo AirJordan dibackcounter gradasi putih kebawah sedangkan gambar bawah gradasi putih keatas <enter> 3.Gambar atas border logo Nike berwarna gold sedangkan gambar bawah warna merah <enter> @jonathan_aldi @bramyoegass #BukaKuis #BukalapakUntukIndonesia	lainnya
@bukalapak FUNGSINYA BUAT APA di dana emas, ga bs beli pulsa atau belanja jg sama aj mengendap dana segitu masak di haruskan beli emas yg 1 gr 600 rb lbh... yg ga balik ikutan kmrn umpama 1 jt org trs ga balik dananga sama aj 12 milyar mengendap di bukalapak di dana emas itu klo 1 jt org klo 10 jt org udh brp doit???? FANTASTIK yg jelas uangnya	misuh
1. Lubang tali di atas 2. Lambangnya kebalik, 3. Garis luar nike ada yg warnanya pekat dan pudar #BukaKuis #BukalapakUntukIndonesia @ilhan_azmi @apiitt_09	lainnya
#bukakuis 1 logo kebalikanya sepatu atas warna merah posisi di atas  sedangkan putihnya dibawah 2 lubang tali sepatu atas salah satunya lebih besar dari yg lain sedang yg bawah sama rata 3 warna lambang kebesaran produk Nike garis tepi sepatu atas wara oren sedangkan bawah berwarna merah @ridwanhr @baarvio_	lainnya
@bukalapak kenanya kmrn jg 12480 ga 12 rb	lainnya
@bukalapak cara buka saldo buka emas dmn	produk
(1)Lubang sepatunya berbeda, yg bawah gak ada lubangnya, (2)logo warna merah bentuk dan posisinya agak berbeda, (3) warna garis logo yg panjangnya beda. @nunik.nursaadah @nneni19 #BukaKuis #BukalapakUntukIndonesia	lainnya
@angeljehadut  @angeliajehadut Jawabanya adalah 1. lubang tali sepatu ujung di gambar satu nampak sengaja  yang di gambar ke dua ga ada 2. Warna tepi garis Nike di gambar pertama agak buram,yang kedua terang 3. Logo air jordan di gambar ke dua kebalik #bukakuis #bukalapakuntukindonesia #bukalapak	lainnya
1.warna backgroundnya 2.warna daunya berbeda warna 3.ada lubang buat tali dan satunya model tempel #BukaKuis #BukakapakUntukIndonesia	lainnya
@nurhidayati805 😂	lainnya
3 perbedaan yang ada pada AIR JORDAN 1 "A Star Is Born" diatas : 1.Lubang Tali sepatu 2.Logo Air Jordan Wings 3.Warna Stitching Luar Logo Nike @abhiprayadinoto @indriiyaani #BukaKuis #BukalapakUntukIndonesia	lainnya
@nurhidayati805 mugo2 menang	lainnya
3 Perbedaan terletak pada (1). Logo garis kecil berbeda warna yang atas orange dan yang bawah merah (2) Lubang lingkaran yang untuk memasukkan tali sepatu bagian atas berbeda (3)Logo yang berwarna merah ada putih putihnya berbeda letak warna putihnya Semoga beruntung @fia18sofia @kylanurfadilah #BukaKuis #BukalapakUntukIndonesia	lainnya
1. Lubang tali sepatu 2. Logo warna merah 3.garis logo nike @bunda_aqsha @kenur_menur #BukalapakUntukIndonesia #bukakuis	lainnya
1. Lubang tali sepatu 2. Logo warna merah 3.garis logo nike @bunda_aqsha @kenur_menur #BukalapakUntukIndonesia #bukakuis	lainnya
@bukalapak saldo saya gak balik, balikin min	transaksi
Paling ngenes tuh klo hp sering jatuh klo lg dimainin anak 😂😂 sama suka kebanting klo lg ngcas di tmpat krjaan  tali casan kgeser kursi alhasil gubraak ho jatuh 😂😂 #BukalapakUntukIndonesia	lainnya
Jatuh dijalan dan sampai sekarang gak nemuin juga 😢 #BukalapakUntukIndonesia	lainnya
B. Kedudukan | kejadian ini 3 bulan lalu,saat kita reunian disebuah cafe, hapeku kedudukan sama temanku “panggil aja Atun” sampai-sampai retak seperti hati ini iaaa retak tak menyatu 😆.. mungkin hpku gak kuat nahan beban bobotnya si atun ini. <enter> . <enter> . <enter>  <enter> Hidup harus sopan santun <enter> Jangan pandai ngebohong <enter> Hai atun  <enter> Gantiin smartphoneku dong <enter> #BukalapakUntukindonesia	lainnya
A.JATUH KELANTAI ceritanya dulu gue kan mau pergi kerumah saudara.selepas sampe kerumah saudara  hp saya ,dipinjam sama adik saya ,dan sama adik saya itu kalo mainan hp,biasanya hpnya jatuh karena adik saya itu kalo mainan game dihp itu suka marah karena kalah katanya,jadi hpnya di jatuhin kelantai deh....	lainnya
A. JATUH KE LANTAI	lainnya
banyak kecelakaan, mulai dari jatuh, kedudukan, sampe ke banting	lainnya
Pernah hp gw jatoh dari motor dan kelindes mobil, dan hancur...😢	lainnya
C. jatuh kena batu. pas pulang kerja mau ke kontrakan (jalan kaki) ternyata pas keluar kantor, mati lampu, ya udah kepakasa ngeluarin hp buat nyalain senter, tiba-tiba kesandung dan hp nya jatoh kena batu. karna buru-buru ga sempet kepikiran kondisi hp. sesampainya di kontrakan liat hp ternyata layarnya retak parah + ga pake tampered glass juga. tapi untung hp nya  strong masih bisa di pake 😄. #bukalapakuntukindonesia	lainnya
A. Jatuh ke lantai <enter> Jadi ceritanya waktu itu lagi asik nonton tv sambil main hp, cuma lebih fokus ke hp daripada tv, gak kerasa waktu berlalu sangat cepat, hingga akhirnya udah jam 11an, mata sebenarnya udah merem melek gitu, cuma tetap dipaksain nonton sama main hp, hingga akhirnya aku ketiduran saat itu di kursi bersama hp, kebetulan nontonnya sambil duduk di kursi 'malas' gitu. Gak tau kenapa tiba" kebangun sekitar jam 1an dengan posisi tv masih hidup, terus langsung keinget hp ku dimana ya, soalnya di tangan udah gak ada, pas aku liat ke bawah rupanya ada hp aku, pas aku ambil ternyata layarnya udah retak, disitu langsung muncul rasa penyesalan dalam diriku, kenapa ya tadi ak paksain tetap nonton, kenapa gak tidur aja, lagian udah ngantuk berat tadi itu. Kemudian ak langsung masuk kamar untuk lanjutin tidur. Besok paginya ak kepikiran lagi tentang hp ku yang retak tadi malam, 'padahal aku pikir selama ini udah hati" sama hp ku jangan sampe jatuh, tapi karena kecorobohanku malah jadi gini' 😢 <enter> #BukalapakUntukIndonesia	lainnya
C.lainnya ... JATUH KE ASPAL 😥 pas ulang tahun lalu dikejar kejar sm tmn" karna mau dirayain , larinya kekencengan sampe hp jatoh ga sadar😭 . Pas diambil udh retak temper glassnya sampe LCDnya jg kena 😥 .. Untungnya msh bs dipake ampe skarang hahaha #bukalapakuntukindonesia	lainnya
C.hp jatuh ga tau pas nutup mobil krak ternyata kejepit tp syukur gpp setelah itu abis mandi lupa taruh diatas celana ga taunya pas ambil kelempar dan jatuh berguling2 hingga munculah zetsu hitam dan putih AKA pecah separoh. The end.	lainnya
Kalau ak yang A : jatuh ke lantai  gara2 turun tangga ambil surat jatuh posisi hp di saku baju al hasil terjun bebas ke lantai udah deh lcd tinta hitam g bisa di pakai.nyesek banget #bukalapakuntukindonesia	lainnya
A.jatuh ke lantai karena waktu itu handphone nya baru belum ada siliconnya jadi licin sekali... Ampun tangan berkeringet ehhh handphone langsung keluar dari genggaman seketika langsung bengong karena pecah dikit sih ujungnya 😭 salahku sendiriiiiii	lainnya
D'siring banjarmasin nih👍👍👍	lainnya
Itu maskot bekantan daerah banjarmasin,wah @bukalapak mampir dibanjarmasin 👏👏👏 kalo saya pernah jatuh handphone,tapi untungnya nggak apa2,tapi kalo handphone mahal seperti samsung s6-s9 atau iphone x itu mahal harganya,jutaan,pasti hati teriris-2 #BukalapakUntukIndonesia	lainnya
Itu maskot bekantan daerah banjarmasin,wah @bukalapak mampir dibanjarmasin 👏👏👏 kalo saya pernah jatuh handphone,tapi untungnya nggak apa2,tapi kalo handphone mahal seperti samsung s6-s9 atau iphone x itu mahal harganya,jutaan,pasti hati teriris-2 #BukalapakUntukIndonesia	lainnya
C. Lainya 😁😁. Pas gua Main game Mobile legend min, lagi pushrank nih, gara gara sinyal sering maju mundur, gak seperti Syahrini maju mundur, maju mundur cantik, nah gua maju mundur maju mundur gua banting ke tembok, nyesek deh min😢😢😁😁	lainnya
#BukalapakUntukIndonesia Ketiban kipas angin @safii1717 @ashab_muslim03	lainnya
Itu iklannya sih pake hp aipon coba hp nya yg lain 😂	lainnya
Mantab harga brp tuh...	lainnya
Handphone saya dulu jatoh di jln & gak sengaja ketendang sama kaki sendiri trs hp nya nyebur ke got, sakit tapi gak berdarah😭😫 almarhum lgsg hp saya RIP👻👻👻😂 #BukalapakUntukIndonesia	lainnya
C. Lainnya,  kecemplung ke WC :( , gak perlu di ceritain lah, pedih pokonya mah :(	lainnya
Jatoh d lantai 14 gan.. alhamdulillah cuma lecet dikit. Soalnya jatoh dari meja yg juga masih dilantai 14 :'D <enter> #BukalapakUntukIndonesia	lainnya
Min testnya jatuh ke aspal..	lainnya
Jatuh ke lantai lagi dipakai mainan anak sendiri.....sampai temperred glass nya pecah tp untungnya Hp dlm kondisi baik2 saja	lainnya
pengalama ku,hp sering ganti anti gores  ya,sebab selalu pecah karna jatuh ke banting 🤣🤣,sebulan mau sampai 2 x gantik anti gores kaca nya,untung selalu pakai case,jd aman hp ny,kecuali anti gores kaca ny yg harus bulak balik di ganti 👍🏻❤️ <enter> #BukalapakUntukIndonesia	lainnya
A. Jatuh ke lantai, yang ada kerikilnya, auto retak dah 😭 #bukakuis #bukalapakuntukindonesia	lainnya
Jatuh ke lantai paling parah. Karena bikin hapeku pecah jadi 2 mangap2 gitu tapi masih bisa dipake 🤣🤣 #bukalapakuntukindonesia	lainnya
Jatuh ke lantai.. gagara dipake anak youtube an saya tinggal ke kamar mandi bentar tau tau hp nya di lempar dan lcd pecah.. #BukalapakUntukIndonesia	lainnya
A. Jatuh ke lantai.. gara gara di pake youtube an anak saya tinggal ke kama mandi tau tau udah di lantai dan layar ret	lainnya
@sashaanwar2017 lupa tag #bukalapakuntukindonesia	lainnya
C. Pengalaman saya layar hp retak bukan karena kecerobahan saya lagsung, tapi karena anak saya yang usia 2 tahun sudah ngerti buka aplikasi play vidio musik dan lain2. jadi ceritanya anak saya usia baru 2 tahun yang udah mulai main2 hp walau belum jelas mw buka apa awalnya dia sentuh2 layar hp dengan asyiknya, lama2 saya liat ko anak saya kaya kesel trus ehhh hpnya dibanting, retak lah layarnya. Ternyata pas saya liat layarnya terkunci, pantesan anak saya kesel mau play musik kayanya dia. Dan kejadian ini udah 2x min @bukalapak yg pertama saya betulin, yg ke 2 udh ga saya betulin deh terima nasib aja. Siapa tau dapet dari serbuseru @bukalapak atau dapet vocer buat betulin hp. #belanjahematdibukalapak #belanjahematbersamabukalapak	lainnya
A. Jatuh ke lantai : Itu terjadi karena kecerobohanku dalam bermain Hp .Karena pada waktu itu ,aku sedang ngantuk tapi tetap memaksakan chattingan untuk mengikuti kuis !.Akhirnya sudah tidak kuat lagi menahan ngantuk dan terjadilah Hpku jatuh ,namun seketika aku sadar dan mengambilnya kembali untuk chattingan ,dan tidak kapok !.Tapi setelah beberapa menit ,aku akhirnya berangkat tidur !.Karena sudah tidak kuat lagi menahan ngantuk berat !.Itulah cerita buruk saya dan tidak patut ditiru !😢😢😢 #BukalapakUntukIndonesia	lainnya
A. Jatuh ke lantai. Sudah sering banget saya mengalaminya..ntah apes atau apa.. yg jelas saya terkadang saya sebal sendiri kalau handphone kesenggol jatuh ke lantai.. padahal itu karna keteledoran saya sendiri.. dan saya marahi diri saya sendiri😓😌😅 semoga saya mendapatkan hidayah agar berhenti untuk teledor..sekian cerita saya yg sangat menyedihkan :") wkwk #bukalapakuntukindonesia	lainnya
Jatuh masuk k air, kronolaginya pas lagi main hp, tiba2 azan zuhur, trus buru2 mau wuduk hp nya di masukim saku kemeja batik ku, eh pas nungging hpnya jatih dan berenang gaya bebas deh. Kesel mau marah mau ngamuk, tapi ya mau ngamuk sama siapa, salah sendiri, teledor sendiri 😂😂😂😂 #bukalapakuntukindonesia	lainnya
A.Jatuh Ke Lantai <enter> jadi cerita nya gini, anak ku seneng bgt main hp. awal nya dia peragai gaya tlp2 nan, setelah lama main hp dia kesel. tiba2 aja itu hp dia banting dan hasil nya jatoh kelantai dengan kondisi batre berceceran. mau marah dia masi kecil yuda urut dada aja deh, sambil bilang jgn dbanting lagi ya nak.. #BukaLapakUntukIndonesia	lainnya
C. Lainnya, jd waktu itu pas dpet penumpang, hp ditaro disaku jaket dan ga dikancingin, abis gitu penumpang yg sblmnya ditawarin pake helm gamau pke helm dan akhirnya stelah jalan minta helm yg saya taro didpan, lalu saya ambil helm itu dan badan saya agak bungkuk eh taunya hp yg dikantong jaket tadi jatoh kejalan aspal dgn kecepatan motor kurang lebih 30km/jam, alhasil layar hp remuk #bukalapakuntukindonesia	lainnya
Lagi bercandaan sama temen gak taunya di saku ada hp dan kepukul sama gue, parahnya ternyata yang disaku itu hp gue!! #BukalapakUntukIndonesia	lainnya
@mbenkslank_custombike #bukalapakuntukindonesia	lainnya
[ C.LAlNYA ] Waktu lg mancing dilaut/pinggir pantai,pas ikanya makan tiba" respon langsung berdiri nyentak,nggak kepikiran kalo HP ditaro paha,alhasil nyemplung dh HP nya,sampe sekarang hpnya masih dlm keadaan koma tak berdaya,hahaha #bukalapak	lainnya
Diulek pake ulekan sambel , HP bengkok cekung , tempered glass pecah , tapi Hp gpp, dilurusin dikit fungsi normal hehee #BukaLapakUntukIndonesia	lainnya
C. Lainnya..(Hp terpental jatuh ke aspal) baru seminggu beli hp langsung kejadian waktu lagi keliling lingkungan KKN.. berhubung jalan di desa itu banyak yg berlubang, maka hp yang tdnya di simpan di saku motor terpental dan retak 😥 #bukalapakuntukindonesia	lainnya
